Município,Frequência
312250 Dom Cavati,1
312260 Dom Joaquim,-
312270 Dom Silvério,-
312280 Dom Viçoso,-
312290 Dona Eusébia,-
312300 Dores de Campos,-
312310 Dores de Guanhães,-
312320 Dores do Indaiá,4
312330 Dores do Turvo,-
312340 Doresópolis,1
312350 Douradoquara,-
312352 Durandé,-
312360 Elói Mendes,2
312370 Engenheiro Caldas,2
312380 Engenheiro Navarro,-
312385 Entre Folhas,-
312390 Entre Rios de Minas,1
312400 Ervália,2
312410 Esmeraldas,10
312420 Espera Feliz,2
312430 Espinosa,5
312440 Espírito Santo do Dourado,-
312450 Estiva,1
312460 Estrela Dalva,1
312470 Estrela do Indaiá,-
312480 Estrela do Sul,2
312490 Eugenópolis,4
312500 Ewbank da Câmara,2
312510 Extrema,6
312520 Fama,-
312530 Faria Lemos,1
312540 Felício dos Santos,2
312560 Felisburgo,-
312570 Felixlândia,4
312580 Fernandes Tourinho,-
312590 Ferros,1
312595 Fervedouro,2
312600 Florestal,-
312610 Formiga,12
312620 Formoso,-
312630 Fortaleza de Minas,1
312640 Fortuna de Minas,2
312650 Francisco Badaró,1
312660 Francisco Dumont,1
312670 Francisco Sá,1
312675 Franciscópolis,3
312680 Frei Gaspar,2
312690 Frei Inocêncio,1
312695 Frei Lagonegro,1
312700 Fronteira,-
312705 Fronteira dos Vales,-
312707 Fruta de Leite,-
312710 Frutal,4
312720 Funilândia,2
312730 Galiléia,4
312733 Gameleiras,-
312735 Glaucilândia,-
312737 Goiabeira,-
312738 Goianá,-
312740 Gonçalves,-
312750 Gonzaga,-
312760 Gouveia,3
312770 Governador Valadares,45
312780 Grão Mogol,-
312790 Grupiara,-
312800 Guanhães,3
312810 Guapé,1
312820 Guaraciaba,5
312825 Guaraciama,1
312830 Guaranésia,2
312840 Guarani,-
312850 Guarará,1
312860 Guarda-Mor,2
312870 Guaxupé,3
312880 Guidoval,-
312890 Guimarânia,1
312900 Guiricema,-
312910 Gurinhatã,-
312920 Heliodora,1
312930 Iapu,1
312940 Ibertioga,-
312950 Ibiá,4
312960 Ibiaí,-
312965 Ibiracatu,-
312970 Ibiraci,2
312980 Ibirité,13
312990 Ibitiúra de Minas,-
313000 Ibituruna,-
313005 Icaraí de Minas,-
313010 Igarapé,2
313020 Igaratinga,3
313030 Iguatama,3
313040 Ijaci,-
313050 Ilicínea,-
313055 Imbé de Minas,1
313060 Inconfidentes,2
313065 Indaiabira,1
313070 Indianópolis,1
313080 Ingaí,-
313090 Inhapim,5
313100 Inhaúma,-
313110 Inimutaba,1
313115 Ipaba,1
313120 Ipanema,1
313130 Ipatinga,23
313140 Ipiaçu,-
313150 Ipuiúna,3
313160 Iraí de Minas,1
313170 Itabira,14
313180 Itabirinha,5
313190 Itabirito,4
313200 Itacambira,2
313210 Itacarambi,2
313220 Itaguara,-
313230 Itaipé,2
313240 Itajubá,13
313250 Itamarandiba,1
313260 Itamarati de Minas,1
313270 Itambacuri,5
313280 Itambé do Mato Dentro,-
313290 Itamogi,3
313300 Itamonte,3
313310 Itanhandu,-
313320 Itanhomi,3
313330 Itaobim,4
313340 Itapagipe,-
313350 Itapecerica,3
313360 Itapeva,3
313370 Itatiaiuçu,4
313375 Itaú de Minas,-
313380 Itaúna,5
313390 Itaverava,-
313400 Itinga,2
313410 Itueta,-
313420 Ituiutaba,16
313430 Itumirim,1
313440 Iturama,3
313450 Itutinga,-
313460 Jaboticatubas,4
313470 Jacinto,3
313480 Jacuí,-
313490 Jacutinga,6
313500 Jaguaraçu,-
313505 Jaíba,2
313507 Jampruca,1
313510 Janaúba,7
313520 Januária,10
313530 Japaraíba,1
313535 Japonvar,-
313540 Jeceaba,-
313545 Jenipapo de Minas,-
313550 Jequeri,1
313560 Jequitaí,1
313570 Jequitibá,2
313580 Jequitinhonha,9
313590 Jesuânia,1
313600 Joaíma,3
313610 Joanésia,1
313620 João Monlevade,8
313630 João Pinheiro,4
313640 Joaquim Felício,1
313650 Jordânia,2
313652 José Gonçalves de Minas,1
313655 José Raydan,-
313657 Josenópolis,1
313665 Juatuba,4
313670 Juiz de Fora,82
313680 Juramento,2
313690 Juruaia,-
313695 Juvenília,1
313700 Ladainha,2
313710 Lagamar,1
313720 Lagoa da Prata,13
313730 Lagoa dos Patos,-
313740 Lagoa Dourada,3
313750 Lagoa Formosa,2
313753 Lagoa Grande,2
313760 Lagoa Santa,6
313770 Lajinha,2
313780 Lambari,2
313790 Lamim,1
313800 Laranjal,2
313810 Lassance,1
313820 Lavras,5
313830 Leandro Ferreira,-
313835 Leme do Prado,-
313840 Leopoldina,11
313850 Liberdade,1
313860 Lima Duarte,4
313862 Limeira do Oeste,4
313865 Lontra,-
313867 Luisburgo,-
313868 Luislândia,2
313870 Luminárias,1
313880 Luz,2
313890 Machacalis,1
313900 Machado,8
313910 Madre de Deus de Minas,-
313920 Malacacheta,2
313925 Mamonas,1
313930 Manga,3
313940 Manhuaçu,5
313950 Manhumirim,2
313960 Mantena,3
313980 Mar de Espanha,-
313970 Maravilhas,1
313990 Maria da Fé,2
314000 Mariana,4
314010 Marilac,2
314015 Mário Campos,-
314020 Maripá de Minas,-
314030 Marliéria,1
314040 Marmelópolis,-
314050 Martinho Campos,2
314053 Martins Soares,-
314055 Mata Verde,-
314060 Materlândia,-
314070 Mateus Leme,-
317150 Mathias Lobato,-
314080 Matias Barbosa,4
314085 Matias Cardoso,2
314090 Matipó,2
314100 Mato Verde,2
314110 Matozinhos,5
314120 Matutina,-
314130 Medeiros,-
314140 Medina,1
314150 Mendes Pimentel,-
314160 Mercês,4
314170 Mesquita,-
314180 Minas Novas,2
314190 Minduri,1
314200 Mirabela,2
314210 Miradouro,1
314220 Miraí,2
314225 Miravânia,1
314230 Moeda,-
314240 Moema,1
314250 Monjolos,-
314260 Monsenhor Paulo,1
314270 Montalvânia,5
314280 Monte Alegre de Minas,6
314290 Monte Azul,-
314300 Monte Belo,2
314310 Monte Carmelo,4
314315 Monte Formoso,-
314320 Monte Santo de Minas,3
314340 Monte Sião,3
314330 Montes Claros,55
314345 Montezuma,-
314350 Morada Nova de Minas,1
314360 Morro da Garça,-
314370 Morro do Pilar,-
314380 Munhoz,3
314390 Muriaé,22
314400 Mutum,4
314410 Muzambinho,1
314420 Nacip Raydan,-
314430 Nanuque,5
314435 Naque,2
314437 Natalândia,-
314440 Natércia,1
314450 Nazareno,-
314460 Nepomuceno,7
314465 Ninheira,-
314467 Nova Belém,-
314470 Nova Era,-
314480 Nova Lima,6
314490 Nova Módica,-
314500 Nova Ponte,-
314505 Nova Porteirinha,-
314510 Nova Resende,2
314520 Nova Serrana,7
313660 Nova União,-
314530 Novo Cruzeiro,3
314535 Novo Oriente de Minas,1
314537 Novorizonte,-
314540 Olaria,-
314545 Olhos-d'Água,-
314550 Olímpio Noronha,1
314560 Oliveira,7
314570 Oliveira Fortes,1
314580 Onça de Pitangui,-
314585 Oratórios,-
314587 Orizânia,-
314590 Ouro Branco,1
314600 Ouro Fino,4
314610 Ouro Preto,7
314620 Ouro Verde de Minas,1
314625 Padre Carvalho,-
314630 Padre Paraíso,2
314655 Pai Pedro,1
314640 Paineiras,-
314650 Pains,-
314660 Paiva,2
314670 Palma,1
314675 Palmópolis,1
314690 Papagaios,1
314710 Pará de Minas,11
314700 Paracatu,11
314720 Paraguaçu,4
314730 Paraisópolis,-
314740 Paraopeba,3
314760 Passa Quatro,1
314770 Passa Tempo,2
314780 Passa-Vinte,-
314750 Passabém,1
314790 Passos,14
314795 Patis,1
314800 Patos de Minas,13
314810 Patrocínio,9
314820 Patrocínio do Muriaé,-
314830 Paula Cândido,2
314840 Paulistas,-
314850 Pavão,-
314860 Peçanha,1
314870 Pedra Azul,10
314875 Pedra Bonita,-
314880 Pedra do Anta,1
314890 Pedra do Indaiá,-
314900 Pedra Dourada,-
314910 Pedralva,2
314915 Pedras de Maria da Cruz,-
314920 Pedrinópolis,-
314930 Pedro Leopoldo,2
314940 Pedro Teixeira,-
314950 Pequeri,1
314960 Pequi,-
314970 Perdigão,-
314980 Perdizes,3
314990 Perdões,2
314995 Periquito,3
315000 Pescador,-
315010 Piau,3
315015 Piedade de Caratinga,-
315020 Piedade de Ponte Nova,-
315030 Piedade do Rio Grande,1
315040 Piedade dos Gerais,1
315050 Pimenta,1
315053 Pingo-d'Água,1
315057 Pintópolis,2
315060 Piracema,1
315070 Pirajuba,1
315080 Piranga,3
315090 Piranguçu,1
315100 Piranguinho,-
315110 Pirapetinga,2
315120 Pirapora,9
315130 Piraúba,1
315140 Pitangui,5
315150 Piumhi,3
315160 Planura,2
315170 Poço Fundo,2
315180 Poços de Caldas,28
315190 Pocrane,1
315200 Pompéu,3
315210 Ponte Nova,8
315213 Ponto Chique,-
315217 Ponto dos Volantes,2
315220 Porteirinha,7
315230 Porto Firme,1
315240 Poté,3
315250 Pouso Alegre,20
315260 Pouso Alto,2
315270 Prados,-
315280 Prata,2
315290 Pratápolis,1
315300 Pratinha,1
315310 Presidente Bernardes,1
315320 Presidente Juscelino,1
315330 Presidente Kubitschek,-
315340 Presidente Olegário,3
315360 Prudente de Morais,1
315370 Quartel Geral,1
315380 Queluzito,-
315390 Raposos,2
315400 Raul Soares,5
315410 Recreio,-
315415 Reduto,2
315420 Resende Costa,3
315430 Resplendor,4
315440 Ressaquinha,-
315445 Riachinho,2
315450 Riacho dos Machados,1
315460 Ribeirão das Neves,15
315470 Ribeirão Vermelho,1
315480 Rio Acima,1
315490 Rio Casca,3
315510 Rio do Prado,2
315500 Rio Doce,1
315520 Rio Espera,3
315530 Rio Manso,1
315540 Rio Novo,-
315550 Rio Paranaíba,1
315560 Rio Pardo de Minas,3
315570 Rio Piracicaba,1
315580 Rio Pomba,3
315590 Rio Preto,-
315600 Rio Vermelho,2
315610 Ritápolis,1
315620 Rochedo de Minas,1
315630 Rodeiro,1
315640 Romaria,-
315645 Rosário da Limeira,-
315650 Rubelita,-
315660 Rubim,4
315670 Sabará,16
315680 Sabinópolis,2
315690 Sacramento,1
315700 Salinas,5
315710 Salto da Divisa,4
315720 Santa Bárbara,2
315725 Santa Bárbara do Leste,2
315727 Santa Bárbara do Monte Verde,2
315730 Santa Bárbara do Tugúrio,-
315733 Santa Cruz de Minas,1
315737 Santa Cruz de Salinas,1
315740 Santa Cruz do Escalvado,1
315750 Santa Efigênia de Minas,2
315760 Santa Fé de Minas,1
315765 Santa Helena de Minas,4
315770 Santa Juliana,-
315780 Santa Luzia,27
315790 Santa Margarida,1
315800 Santa Maria de Itabira,2
315810 Santa Maria do Salto,-
315820 Santa Maria do Suaçuí,3
315920 Santa Rita de Caldas,3
315940 Santa Rita de Ibitipoca,-
315930 Santa Rita de Jacutinga,-
315935 Santa Rita de Minas,-
315950 Santa Rita do Itueto,1
315960 Santa Rita do Sapucaí,2
315970 Santa Rosa da Serra,1
315980 Santa Vitória,7
315830 Santana da Vargem,3
315840 Santana de Cataguases,-
315850 Santana de Pirapama,-
315860 Santana do Deserto,-
315870 Santana do Garambéu,2
315880 Santana do Jacaré,1
315890 Santana do Manhuaçu,1
315895 Santana do Paraíso,3
315900 Santana do Riacho,-
315910 Santana dos Montes,1
315990 Santo Antônio do Amparo,2
316000 Santo Antônio do Aventureiro,-
316010 Santo Antônio do Grama,-
316020 Santo Antônio do Itambé,-
316030 Santo Antônio do Jacinto,1
316040 Santo Antônio do Monte,1
316045 Santo Antônio do Retiro,1
316050 Santo Antônio do Rio Abaixo,-
316060 Santo Hipólito,1
316070 Santos Dumont,6
316080 São Bento Abade,1
316090 São Brás do Suaçuí,-
316095 São Domingos das Dores,-
316100 São Domingos do Prata,3
316105 São Félix de Minas,-
316110 São Francisco,7
316120 São Francisco de Paula,-
316130 São Francisco de Sales,2
316140 São Francisco do Glória,1
316150 São Geraldo,4
316160 São Geraldo da Piedade,2
316165 São Geraldo do Baixio,-
316170 São Gonçalo do Abaeté,1
316180 São Gonçalo do Pará,1
316190 São Gonçalo do Rio Abaixo,2
312550 São Gonçalo do Rio Preto,-
316200 São Gonçalo do Sapucaí,2
316210 São Gotardo,5
316220 São João Batista do Glória,-
316225 São João da Lagoa,-
316230 São João da Mata,1
316240 São João da Ponte,1
316245 São João das Missões,1
316250 São João del Rei,12
316255 São João do Manhuaçu,1
316257 São João do Manteninha,2
316260 São João do Oriente,1
316265 São João do Pacuí,-
316270 São João do Paraíso,2
316280 São João Evangelista,2
316290 São João Nepomuceno,3
316292 São Joaquim de Bicas,-
316294 São José da Barra,-
316295 São José da Lapa,1
316300 São José da Safira,-
316310 São José da Varginha,-
316320 São José do Alegre,1
316330 São José do Divino,-
316340 São José do Goiabal,-
316350 São José do Jacuri,3
316360 São José do Mantimento,-
316370 São Lourenço,5
316380 São Miguel do Anta,-
316390 São Pedro da União,3
316410 São Pedro do Suaçuí,2
316400 São Pedro dos Ferros,1
316420 São Romão,-
316430 São Roque de Minas,-
316440 São Sebastião da Bela Vista,2
316443 São Sebastião da Vargem Alegre,-
316447 São Sebastião do Anta,-
316450 São Sebastião do Maranhão,-
316460 São Sebastião do Oeste,1
316470 São Sebastião do Paraíso,13
316480 São Sebastião do Rio Preto,-
316490 São Sebastião do Rio Verde,-
316520 São Thomé das Letras,-
316500 São Tiago,1
316510 São Tomás de Aquino,3
316530 São Vicente de Minas,1
316540 Sapucaí-Mirim,-
316550 Sardoá,-
316553 Sarzedo,-
316556 Sem-Peixe,-
316557 Senador Amaral,1
316560 Senador Cortes,-
316570 Senador Firmino,-
316580 Senador José Bento,-
316590 Senador Modestino Gonçalves,1
316600 Senhora de Oliveira,1
316610 Senhora do Porto,-
316620 Senhora dos Remédios,2
316630 Sericita,-
316640 Seritinga,-
316650 Serra Azul de Minas,-
316660 Serra da Saudade,-
316680 Serra do Salitre,-
316670 Serra dos Aimorés,2
316690 Serrania,2
316695 Serranópolis de Minas,-
316700 Serranos,1
316710 Serro,6
316720 Sete Lagoas,37
316555 Setubinha,2
316730 Silveirânia,1
316740 Silvianópolis,1
316750 Simão Pereira,1
316760 Simonésia,-
316770 Sobrália,-
316780 Soledade de Minas,3
316790 Tabuleiro,4
316800 Taiobeiras,2
316805 Taparuba,-
316810 Tapira,2
316820 Tapiraí,-
316830 Taquaraçu de Minas,-
316840 Tarumirim,3
316850 Teixeiras,3
316860 Teófilo Otoni,29
316870 Timóteo,9
316880 Tiradentes,-
316890 Tiros,-
316900 Tocantins,3
316905 Tocos do Moji,2
316910 Toledo,2
316920 Tombos,2
316930 Três Corações,11
316935 Três Marias,5
316940 Três Pontas,9
316950 Tumiritinga,1
316960 Tupaciguara,3
316970 Turmalina,3
316980 Turvolândia,-
316990 Ubá,2
317000 Ubaí,2
317005 Ubaporanga,1
317010 Uberaba,49
317020 Uberlândia,81
317030 Umburatiba,1
317040 Unaí,3
317043 União de Minas,2
317047 Uruana de Minas,1
317050 Urucânia,1
317052 Urucuia,3
317057 Vargem Alegre,3
317060 Vargem Bonita,-
317065 Vargem Grande do Rio Pardo,-
317070 Varginha,16
317075 Varjão de Minas,1
317080 Várzea da Palma,6
317090 Varzelândia,2
317100 Vazante,5
317103 Verdelândia,-
317107 Veredinha,-
317110 Veríssimo,-
317115 Vermelho Novo,1
317120 Vespasiano,8
317130 Viçosa,7
317140 Vieiras,1
317160 Virgem da Lapa,1
317170 Virgínia,1
317180 Virginópolis,1
317190 Virgolândia,2
317200 Visconde do Rio Branco,2
317210 Volta Grande,2
317220 Wenceslau Braz,-
310000 Município ignorado - MG,-
